Hotel,Price
Four Seasons Hotel Las Vegas,$763
Horseshoe Las Vegas,$304
Las Vegas Hilton at Resorts World,$449
"Treasure Island - TI Las Vegas Hotel  Casino, a Radisson Hotel",$391
N/A,N/A
Wynn Las Vegas,$805
Westgate Las Vegas Resort & Casino,$463
"Treasure Island - TI Las Vegas Hotel  Casino, a Radisson Hotel",$391
Four Seasons Hotel Las Vegas,$763
Caesars Palace,$678
Bellagio,$627
ARIA Resort & Casino,$510
N/A,N/A
The Cosmopolitan Of Las Vegas,$575
Mandalay Bay Resort And Casino,$464
MGM Grand Hotel & Casino,$419
N/A,N/A
Flamingo Las Vegas Hotel & Casino,$342
The LINQ Hotel + Experience,$382
Vdara Hotel & Spa at ARIA Las Vegas,$520
Las Vegas Hilton at Resorts World,$449
Bellagio,$627
Paris Las Vegas Resort & Casino,$539
Park MGM Las Vegas,$415
Planet Hollywood Resort & Casino,$492
Horseshoe Las Vegas,$304
Harrah's Hotel and Casino Las Vegas,$365
"The STRAT Hotel, Casino & Tower",$346
Encore at Wynn Las Vegas,$721
Grandview at Las Vegas,$493
Rio Hotel & Casino,$364
Park MGM Las Vegas,$415
"Crockfords Las Vegas, LXR Hotels & Resorts at Resorts World","$1,130"
N/A,N/A
Palms Casino Resort,$365
The Cliffs at Peace Canyon,$420
Tuscany Suites & Casino,$364
Plaza Hotel & Casino,$325
Westgate Las Vegas Resort & Casino,$463
The SKYLOFTS at MGM Grand,"$1,966"
Ellis Island Hotel,$327
El Cortez Hotel and Casino - 21 and Over,$338
Rio Hotel & Casino,$364
The Signature at MGM Grand (All Suites),$529
Nobu Hotel at Caesars Palace,$787
Oasis at Gold Spike,$294
Crown Motel,$280
NoMad Las Vegas,$747
A Fisher's Inn Motel,$318
Delano Las Vegas at Mandalay Bay,$848
Perfect Inn Motel,$351
Arizona Charlie's Boulder,$274
"The STRAT Hotel, Casino & Tower",$346
ARIA Resort & Casino,$510
Silver Sevens Hotel & Casino,$247
"Motel 6 Las Vegas, NV - Motor Speedway",$280
Highland Inn,$285
Saddle West Hotel and Casino and RV Park,$319
Mandalay Bay Resort And Casino,$464
The Cosmopolitan Of Las Vegas,$575
MGM Grand Hotel & Casino,$419
Vdara Hotel & Spa at ARIA Las Vegas,$520
Plaza Hotel & Casino,$325
N/A,N/A
Excalibur Hotel & Casino,N/A
SAHARA Las Vegas,N/A
"Red Rock Casino, Resort and Spa",N/A
the D Las Vegas,N/A
Marriott's Grand Chateau (No Resort Fee),N/A
Holiday Inn Express Las Vegas - Stadium Area,N/A
Hilton Club Elara Las Vegas,N/A
Shalimar Hotel of Las Vegas,N/A
Bungalows Hostel ,N/A
Americas Best Value Inn Las Vegas Strip,N/A
Best Western Parkview Inn,N/A
Las Vegas Hostel,N/A
Luxor Hotel and Casino,N/A
New York-New York Hotel & Casino,N/A
Hilton Vacation Club Polo Towers Las Vegas,N/A
"Circus Circus Hotel, Casino & Theme Park",N/A
The Venetian Resort Las Vegas,N/A
Fontainebleau Las Vegas,N/A
The Palazzo at The Venetian,N/A
Conrad Las Vegas at Resorts World,N/A
Hilton Grand Vacations Club on the Las Vegas Strip,N/A
The Ahern Luxury Boutique Hotel,N/A
Downtown Grand Las Vegas,N/A
Longhorn Casino & Hotel,N/A
"South Point Hotel, Casino, and Spa",N/A
"Main Street Station Hotel, Casino and Brewery",N/A
The Orleans Hotel & Casino,N/A
Alexis Park All Suite Resort,N/A
Fremont Hotel & Casino,N/A
Golden Nugget Las Vegas Hotel & Casino,N/A
Silverton Casino Lodge - Newly Renovated,N/A
Sam's Town Hotel & Gambling Hall,N/A
Four Queens Hotel and Casino,N/A
Club De Soleil All-Suite Resort,N/A
Circa Resort & Casino – Adults Only,N/A
Trump International Hotel Las Vegas,N/A
Gold Coast Hotel and Casino,N/A
Serene Vegas Boutique Hotel Las Vegas,N/A
Mardi Gras Hotel & Casino,N/A
The Berkley Las Vegas,N/A
Arizona Charlie's Decatur,N/A
